Timestamp,ctrltarget.ax,ctrltarget.ay,ctrltarget.az,ctrltarget.pitch,ctrltarget.roll,ctrltarget.yaw
133437,0.0,0.0,0.0,2.933156967163086,6.109554767608643,-0.0
133537,0.0,0.0,0.0,-0.0,13.401970863342285,-0.0
133637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
133737,0.0,0.0,0.0,-0.0,6.021856784820557,-125.0030517578125
133837,0.0,0.0,0.0,1.2023283243179321,29.99903678894043,-172.65625
133937,0.0,0.0,0.0,5.163188934326172,29.99903678894043,-147.42584228515625
134037,0.0,0.0,0.0,7.7594313621521,29.99903678894043,-100.39825439453125
134137,0.0,0.0,0.0,8.031198501586914,29.99903678894043,-97.491455078125
134237,0.0,0.0,0.0,8.584369659423828,29.99903678894043,-77.13623046875
134337,0.0,0.0,0.0,8.650866508483887,29.99903678894043,-0.0
134437,0.0,0.0,0.0,8.650866508483887,29.99903678894043,78.28826904296875
134537,0.0,0.0,0.0,8.650866508483887,29.99903678894043,113.2537841796875
134637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,20.36590576171875
134737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
134837,0.0,0.0,0.0,-0.0,-21.317909240722656,-0.0
134937,0.0,0.0,0.0,-0.0,-29.99903678894043,-0.0
135037,0.0,0.0,0.0,-0.0,-29.99903678894043,-0.0
135137,0.0,0.0,0.0,-0.0,-29.99903678894043,-0.0
135237,0.0,0.0,0.0,-0.0,-29.99903678894043,-0.0
135337,0.0,0.0,0.0,-0.0,-29.99903678894043,-0.0
135437,0.0,0.0,0.0,-0.0,-29.99903678894043,-0.0
135537,0.0,0.0,0.0,-0.0,-29.99903678894043,-0.0
135637,0.0,0.0,0.0,-0.0,-29.99903678894043,-0.0
135737,0.0,0.0,0.0,-0.0,-29.351421356201172,-0.0
135837,0.0,0.0,0.0,-0.0,-22.439672470092773,-0.0
135937,0.0,0.0,0.0,-0.0,-16.8260440826416,-0.0
136037,0.0,0.0,0.0,-0.0,-16.210229873657227,-0.0
136137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
136237,0.0,0.0,0.0,-0.0,13.906956672668457,-0.0
136337,0.0,0.0,0.0,-0.0,20.156635284423828,-0.0
136437,0.0,0.0,0.0,-0.0,29.99903678894043,-0.0
136537,0.0,0.0,0.0,-0.73974609375,29.99903678894043,-0.0
136637,0.0,0.0,0.0,-4.319940090179443,29.99903678894043,-0.0
136737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
136837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
136937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
137037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
137137,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
137237,0.0,0.0,0.0,-6.786081314086914,-5.551115123125783e-17,-0.0
137337,0.0,0.0,0.0,-18.305343627929688,-5.551115123125783e-17,-0.0
137437,0.0,0.0,0.0,-24.125205993652344,-5.551115123125783e-17,-0.0
137537,0.0,0.0,0.0,-20.789794921875,-5.551115123125783e-17,-0.0
137637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
137737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
137837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
